,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,guerrero negro,27.9769,-114.0611,78.15,57,99,16.78,MX,1626303960
371,ajaccio,42.0,8.9167,68.49,77,75,3.44,FR,1626303686
372,the valley,18.217,-63.0578,82.09,70,89,16.91,AI,1626303766
373,estelle,29.8458,-90.1067,87.01,69,1,5.01,US,1626303711
374,qingdao,36.0986,120.3719,75.45,95,94,8.81,CN,1626303960
375,ouadda,8.0777,22.4007,67.3,97,96,3.47,CF,1626303960
376,port alfred,-33.5906,26.891,54.25,39,1,8.05,ZA,1626303961
377,tessalit,20.1986,1.0114,88.99,35,86,11.74,ML,1626303961
378,sao filipe,14.8961,-24.4956,75.0,87,65,11.32,CV,1626303961
379,narni,42.5171,12.5231,68.76,80,1,2.73,IT,1626303962
380,medicine hat,50.0501,-110.6683,91.72,26,1,3.0,CA,1626303707
381,henties bay,-22.116,14.2845,57.36,69,0,4.38,NA,1626303962
382,bredy,52.4153,60.3411,50.99,60,2,3.13,RU,1626303962
383,tumarbong,10.3766,119.4579,79.88,84,100,1.77,PH,1626303963
384,beringovskiy,63.05,179.3167,57.96,70,8,10.51,RU,1626303963
385,perth,-31.9333,115.8333,61.05,73,40,19.57,AU,1626303793
386,batemans bay,-35.7167,150.1833,61.11,68,32,5.79,AU,1626303963
387,atar,20.5169,-13.0499,94.87,24,1,7.63,MR,1626303738
388,dong hoi,17.4833,106.6,78.91,89,51,2.8,VN,1626303856
389,porto novo,6.4965,2.6036,77.25,82,63,9.19,BJ,1626303964
390,udachnyy,66.4167,112.4,53.01,46,32,3.36,RU,1626303964
391,kaeo,-35.1,173.7833,58.32,68,5,4.23,NZ,1626303965
392,andros town,24.7,-77.7667,84.16,72,6,15.84,BS,1626303965
393,biak,-0.9131,122.8766,75.29,90,100,6.35,ID,1626303965
394,christchurch,-43.5333,172.6333,53.8,62,82,3.44,NZ,1626303761
395,vegreville,53.5001,-112.0518,86.09,32,61,12.95,CA,1626303906
396,george town,5.4112,100.3354,80.89,87,20,1.01,MY,1626303966
397,krasnaya gorbatka,55.8703,41.7641,67.5,91,100,5.17,RU,1626303966
398,batagay,67.6333,134.6333,51.64,52,83,7.85,RU,1626303966
399,san felipe,10.3399,-68.7425,73.36,96,88,4.81,VE,1626303967
400,olinda,-8.0089,-34.8553,74.93,83,75,10.36,BR,1626303967
401,agadir,30.4202,-9.5982,68.45,78,2,7.54,MA,1626303692
402,witbank,-25.8713,29.2332,39.07,64,41,3.87,ZA,1626304034
403,moose factory,51.2585,-80.6094,62.28,49,91,6.2,CA,1626304034
404,dubbo,-32.25,148.6167,57.33,94,90,10.36,AU,1626304034
405,skiathos,39.1623,23.4909,80.98,64,0,1.74,GR,1626303788
406,hobart,-42.8794,147.3294,50.11,96,75,1.99,AU,1626303878
407,san lucas,16.6,-92.7167,81.36,91,86,2.33,MX,1626304035
408,naze,28.3667,129.4833,79.92,81,100,7.54,JP,1626304035
409,katsuura,35.1333,140.3,80.19,84,91,4.9,JP,1626304035
410,kangaatsiaq,68.3065,-53.4641,40.06,97,99,12.48,GL,1626304036
411,sheregesh,52.9209,87.9869,56.05,98,94,4.63,RU,1626304036
412,redondela,42.2834,-8.6096,67.19,63,0,6.91,ES,1626304036
413,ladario,-19.0047,-57.6017,78.8,35,4,2.98,BR,1626304037
414,maragogi,-9.0122,-35.2225,74.64,89,8,9.1,BR,1626304037
415,port elizabeth,-33.918,25.5701,50.04,57,25,6.02,ZA,1626304037
416,tourlaville,49.6383,-1.5664,62.74,67,0,8.05,FR,1626304037
417,barcelona,41.3888,2.159,74.97,75,40,3.0,ES,1626303788
418,kaohsiung,22.6163,120.3133,84.04,79,40,2.3,TW,1626304038
419,fortuna,40.5982,-124.1573,92.48,85,90,3.0,US,1626304038
420,castanos,26.7833,-101.4167,83.79,69,75,0.0,MX,1626304038
421,chuy,-33.6971,-53.4616,53.85,98,100,10.56,UY,1626304039
422,rokupr,8.6717,-12.395,72.82,97,100,2.71,SL,1626304039
423,khuzdar,27.7384,66.6434,79.48,63,85,2.84,PK,1626304039
424,iguape,-24.7081,-47.5553,66.7,74,75,5.91,BR,1626304040
425,tias,28.9611,-13.645,71.35,78,20,24.16,ES,1626304040
426,yerbogachen,61.2767,108.0108,59.63,71,100,11.74,RU,1626304040
427,san francisco de becerra,14.6333,-86.1,89.4,61,95,8.39,HN,1626304041
428,superior,46.7208,-92.1041,67.69,80,1,10.36,US,1626304041
429,svetlogorsk,52.6333,29.7333,70.07,79,49,6.29,BY,1626304041
430,falmouth,50.1544,-5.0711,58.86,97,20,3.0,GB,1626304042
431,adamas,36.7333,24.4333,78.22,71,0,14.29,GR,1626304042
432,bethel,41.3712,-73.414,84.31,80,20,6.91,US,1626303990
433,ejea de los caballeros,42.1263,-1.1372,62.17,80,66,14.07,ES,1626304042
434,vao,-22.6667,167.4833,69.35,62,95,18.41,NC,1626304043
435,sabang,5.8933,95.3214,81.5,74,94,20.09,ID,1626304043
436,buraydah,26.326,43.975,89.98,15,35,7.81,SA,1626304043
437,hobyo,5.3505,48.5268,76.69,82,52,26.31,SO,1626304043
438,lompoc,34.6391,-120.4579,86.14,72,1,13.8,US,1626304044
439,talcahuano,-36.7167,-73.1167,47.88,87,0,2.3,CL,1626304044
440,ancud,-41.8697,-73.8203,46.22,81,79,5.21,CL,1626304044
441,tonantins,-2.8731,-67.8022,74.34,97,70,2.24,BR,1626304045
442,san quintin,30.4833,-115.95,74.66,68,2,11.25,MX,1626304045
443,bafoulabe,13.8065,-10.8321,86.09,60,82,8.03,ML,1626304038
444,rawatsar,29.2833,74.3833,86.81,67,8,9.26,IN,1626304045
445,flinders,-34.5833,150.8552,65.37,79,2,1.01,AU,1626304046
446,epitalion,37.6333,21.5,82.9,64,0,4.36,GR,1626304046
447,berezovyy,51.6667,135.7,66.2,100,100,1.28,RU,1626304046
448,kloulklubed,7.0419,134.2556,84.7,75,100,11.7,PW,1626304047
449,margate,51.3813,1.3862,65.7,82,1,3.0,GB,1626304216
450,tormac,45.5208,21.4936,85.37,79,23,3.91,RO,1626304216
451,cap malheureux,-19.9842,57.6142,72.99,63,74,15.68,MU,1626304216
452,asau,46.4333,26.4,67.39,87,0,3.91,RO,1626304217
453,itarema,-2.9248,-39.9167,79.3,83,77,16.49,BR,1626304217
454,lasa,46.6166,10.7002,52.54,89,45,2.35,IT,1626304217
455,ignatovka,53.9479,47.6536,61.39,82,71,1.72,RU,1626304218
456,caravelas,-17.7125,-39.2481,71.15,87,0,4.59,BR,1626304218
457,banda aceh,5.5577,95.3222,77.68,78,93,14.23,ID,1626304218
458,limbang,4.75,115.0,71.71,98,100,2.62,MY,1626304218
459,loandjili,-4.7561,11.8578,71.42,90,21,7.56,CG,1626304219
460,mbini,1.574,9.6134,76.53,80,90,7.43,GQ,1626304219
461,sovetsk,55.0839,21.8785,69.91,85,4,2.91,RU,1626304219
462,oranjestad,12.524,-70.027,82.35,74,20,21.85,AW,1626303959
463,dutlwe,-23.9833,23.9,37.11,26,0,5.73,BW,1626304220
464,hirara,24.8,125.2833,83.71,77,90,12.15,JP,1626304220
465,merauke,-8.4667,140.3333,79.68,86,99,14.2,ID,1626304220
466,dhidhdhoo,6.8833,73.1,81.5,81,97,16.44,MV,1626304221
467,uspenka,48.3903,39.1619,70.21,52,0,3.33,UA,1626304221
468,baft,29.234,56.6057,70.7,46,82,0.76,IR,1626304221
469,wolgast,54.05,13.7667,67.86,85,63,6.31,DE,1626304221
470,mount isa,-20.7333,139.5,67.77,77,53,0.0,AU,1626304222
471,bakau,13.4781,-16.6819,82.54,83,40,10.36,GM,1626304222
472,sao felix do xingu,-6.6447,-51.995,77.36,46,42,1.81,BR,1626304222
473,dunedin,-45.8742,170.5036,47.8,64,97,10.0,NZ,1626304108
474,haines junction,60.7522,-137.5108,47.82,89,100,3.2,CA,1626304223
475,malanje,-9.5402,16.341,65.93,30,71,2.84,AO,1626304223
476,mahebourg,-20.4081,57.7,70.43,73,72,12.3,MU,1626304223
477,doba,8.65,16.85,71.06,94,100,2.44,TD,1626304224
478,erice,38.037,12.5865,66.67,65,0,9.53,IT,1626304224
479,harlingen,26.1906,-97.6961,87.71,88,1,10.36,US,1626303975
480,mateare,12.2351,-86.4281,82.38,66,100,15.52,NI,1626304224
481,dibulla,11.2725,-73.3091,82.72,74,52,9.13,CO,1626304224
482,puerto ayora,-0.7393,-90.3518,72.55,87,60,4.0,EC,1626304225
483,can,40.0333,27.0524,75.88,97,0,3.89,TR,1626304225
484,bandarbeyla,9.4942,50.8122,79.56,73,57,27.54,SO,1626304225
485,kathmandu,27.7167,85.3167,70.02,94,75,5.75,NP,1626303979
486,tromso,69.6496,18.957,52.45,82,0,8.05,NO,1626303955
487,cidreira,-30.1811,-50.2056,61.48,81,49,8.79,BR,1626304226
488,hambantota,6.1241,81.1185,78.46,81,91,12.95,LK,1626304226
489,kolarovo,47.9229,17.9847,75.42,79,30,7.02,SK,1626304226
490,axim,4.8699,-2.2405,76.57,83,99,10.4,GH,1626304227
491,turukhansk,65.8167,87.9833,52.75,56,91,8.3,RU,1626304227
492,carutapera,-1.195,-46.02,75.76,93,34,8.77,BR,1626304227
493,pimenta bueno,-11.6725,-61.1936,79.86,35,3,1.03,BR,1626303989
494,amapa,1.0,-52.0,72.46,98,89,2.93,BR,1626304227
495,sorland,67.667,12.6934,56.05,83,81,11.27,NO,1626304228
496,burnie,-41.0667,145.9167,52.83,94,100,8.5,AU,1626304312
497,bambous virieux,-20.3428,57.7575,70.27,74,76,12.37,MU,1626304312
498,sidi bin nur,35.5333,10.9167,76.91,55,0,13.35,TN,1626304313
499,chhatarpur,24.9,79.6,85.73,55,69,5.21,IN,1626304313
500,chernogorsk,53.8236,91.2842,65.77,88,40,2.24,RU,1626304313
501,nemuro,43.3236,145.575,60.03,96,87,2.33,JP,1626304314
502,tema,5.667,-0.0166,77.0,81,88,10.2,GH,1626304314
503,chernyshevskiy,63.0128,112.4714,52.75,68,100,11.48,RU,1626304314
